Country Name,Country Code,Year,average_value_Income share held by highest 10%
Sweden,SWE,1967,23.5
United Kingdom,GBR,1969,26.1
Canada,CAN,1971,27.0
United Kingdom,GBR,1974,23.9
United States,USA,1974,26.0
Sweden,SWE,1975,19.5
Canada,CAN,1975,24.6
France,FRA,1978,27.1
Norway,NOR,1979,21.9
United Kingdom,GBR,1979,22.4
United States,USA,1979,25.3
Israel,ISR,1979,26.9
Panama,PAN,1979,36.0
Spain,ESP,1980,26.3
Argentina,ARG,1980,30.2
Madagascar,MDG,1980,37.0
Sweden,SWE,1981,18.3
Australia,AUS,1981,23.3
Canada,CAN,1981,24.3
Costa Rica,CRI,1981,33.7
Thailand,THA,1981,35.5
"Venezuela, RB",VEN,1981,43.5
Brazil,BRA,1981,45.9
Switzerland,CHE,1982,28.6
Brazil,BRA,1982,46.2
Bangladesh,BGD,1983,21.9
Netherlands,NLD,1983,22.6
India,IND,1983,26.4
Brazil,BRA,1983,46.8
Indonesia,IDN,1984,26.3
France,FRA,1984,28.9
Morocco,MAR,1984,31.8
Mexico,MEX,1984,37.9
Malaysia,MYS,1984,38.5
Brazil,BRA,1984,46.5
Belgium,BEL,1985,20.6
Luxembourg,LUX,1985,21.5
Bangladesh,BGD,1985,23.4
Australia,AUS,1985,24.3
Sri Lanka,LKA,1985,26.4
Spain,ESP,1985,26.7
Nigeria,NGA,1985,28.2
Tunisia,TUN,1985,34.1
Cote d'Ivoire,CIV,1985,35.6
Brazil,BRA,1985,42.5
Botswana,BWA,1985,42.9
Norway,NOR,1986,20.5
Costa Rica,CRI,1986,23.0
United Kingdom,GBR,1986,24.4
Italy,ITA,1986,24.7
United States,USA,1986,26.7
Israel,ISR,1986,26.9
Jordan,JOR,1986,28.1
Cote d'Ivoire,CIV,1986,29.5
Argentina,ARG,1986,32.2
Dominican Republic,DOM,1986,36.1
"Iran, Islamic Rep.",IRN,1986,36.9
Lesotho,LSO,1986,43.6
Brazil,BRA,1986,46.6
Guatemala,GTM,1986,46.7
Sweden,SWE,1987,19.0
Finland,FIN,1987,19.2
Austria,AUT,1987,19.3
Denmark,DNK,1987,21.6
Netherlands,NLD,1987,22.0
Canada,CAN,1987,23.8
Italy,ITA,1987,25.5
Indonesia,IDN,1987,25.6
Ireland,IRL,1987,27.2
Ghana,GHA,1987,27.3
India,IND,1987,27.4
Pakistan,PAK,1987,27.6
Cote d'Ivoire,CIV,1987,32.0
Mauritania,MRT,1987,32.0
Argentina,ARG,1987,34.3
Turkey,TUR,1987,35.1
Malaysia,MYS,1987,36.9
"Venezuela, RB",VEN,1987,40.8
Chile,CHL,1987,45.4
Brazil,BRA,1987,47.4
Belgium,BEL,1988,21.1
Bangladesh,BGD,1988,24.6
Ghana,GHA,1988,28.1
Cote d'Ivoire,CIV,1988,28.3
Trinidad and Tobago,TTO,1988,31.1
Algeria,DZA,1988,32.8
Jamaica,JAM,1988,33.7
Thailand,THA,1988,35.3
Brazil,BRA,1988,49.2
Australia,AUS,1989,24.7
France,FRA,1989,24.7
Italy,ITA,1989,25.1
"Venezuela, RB",VEN,1989,32.5
Costa Rica,CRI,1989,33.7
Uganda,UGA,1989,33.7
Malaysia,MYS,1989,36.4
Dominican Republic,DOM,1989,39.8
Mexico,MEX,1989,40.6
Panama,PAN,1989,42.9
Guatemala,GTM,1989,46.8
Honduras,HND,1989,48.2
Brazil,BRA,1989,51.2
Netherlands,NLD,1990,24.5
Spain,ESP,1990,24.9
China,CHN,1990,25.8
Indonesia,IDN,1990,26.2
"Egypt, Arab Rep.",EGY,1990,26.7
Pakistan,PAK,1990,27.1
Sri Lanka,LKA,1990,27.5
Morocco,MAR,1990,30.7
Tunisia,TUN,1990,30.7
Paraguay,PRY,1990,30.8
Jamaica,JAM,1990,32.0
Costa Rica,CRI,1990,33.0
"Iran, Islamic Rep.",IRN,1990,33.5
Thailand,THA,1990,36.4
Honduras,HND,1990,45.5
Chile,CHL,1990,47.0
Brazil,BRA,1990,48.1
Finland,FIN,1991,19.6
Norway,NOR,1991,21.2
Luxembourg,LUX,1991,22.2
Germany,DEU,1991,22.9
Bangladesh,BGD,1991,23.3
Canada,CAN,1991,23.6
Italy,ITA,1991,24.0
Tanzania,TZA,1991,27.1
United Kingdom,GBR,1991,27.1
United States,USA,1991,27.5
Ghana,GHA,1991,30.1
Guinea,GIN,1991,31.7
Costa Rica,CRI,1991,34.3
Argentina,ARG,1991,36.6
Honduras,HND,1991,40.8
El Salvador,SLV,1991,41.4
Panama,PAN,1991,42.5
Senegal,SEN,1991,42.8
Zambia,ZMB,1991,42.9
Czech Republic,CZE,1992,19.6
Sweden,SWE,1992,20.0
Belgium,BEL,1992,20.1
Denmark,DNK,1992,20.5
Ukraine,UKR,1992,22.8
Switzerland,CHE,1992,26.4
Burundi,BDI,1992,26.6
Israel,ISR,1992,26.9
United States,USA,1992,27.7
Lao PDR,LAO,1992,28.1
Vietnam,VNM,1992,28.6
Niger,NER,1992,29.4
Cote d'Ivoire,CIV,1992,29.5
Trinidad and Tobago,TTO,1992,29.9
Nigeria,NGA,1992,31.4
Uruguay,URY,1992,31.4
"Venezuela, RB",VEN,1992,31.6
Uganda,UGA,1992,33.5
Costa Rica,CRI,1992,33.7
Argentina,ARG,1992,34.3
Jordan,JOR,1992,35.0
Malaysia,MYS,1992,37.0
Thailand,THA,1992,38.7
Bolivia,BOL,1992,39.2
Brazil,BRA,1992,39.7
Colombia,COL,1992,40.5
Honduras,HND,1992,41.4
Dominican Republic,DOM,1992,42.0
Mexico,MEX,1992,42.2
Chile,CHL,1992,45.2
Central African Republic,CAF,1992,47.7
Kenya,KEN,1992,47.9
Netherlands,NLD,1993,22.8
Ukraine,UKR,1993,23.2
Czech Republic,CZE,1993,23.6
Italy,ITA,1993,26.2
India,IND,1993,26.7
Indonesia,IDN,1993,27.0
Jamaica,JAM,1993,27.4
United States,USA,1993,29.7
Argentina,ARG,1993,33.2
Costa Rica,CRI,1993,33.7
Guinea-Bissau,GNB,1993,34.4
Madagascar,MDG,1993,37.0
Russian Federation,RUS,1993,38.3
Zambia,ZMB,1993,39.3
Mauritania,MRT,1993,42.5
Honduras,HND,1993,42.8
Nicaragua,NIC,1993,44.2
South Africa,ZAF,1993,46.7
Brazil,BRA,1993,48.5
Belize,BLZ,1993,51.1
Botswana,BWA,1993,51.2
Luxembourg,LUX,1994,21.9
Germany,DEU,1994,23.1
Canada,CAN,1994,23.6
Austria,AUT,1994,24.6
France,FRA,1994,25.6
United Kingdom,GBR,1994,28.0
Ireland,IRL,1994,29.0
United States,USA,1994,29.6
Turkey,TUR,1994,32.0
Niger,NER,1994,32.5
"Iran, Islamic Rep.",IRN,1994,33.3
Kenya,KEN,1994,33.4
Senegal,SEN,1994,33.9
