Country Name,Country Code,Year,average_value_Multidimensional poverty headcount ratio (% of total population)
Iceland,ISL,2010,13.7
Czech Republic,CZE,2010,14.4
Norway,NOR,2010,14.9
Netherlands,NLD,2010,15.1
Finland,FIN,2010,16.9
Luxembourg,LUX,2010,17.1
Sweden,SWE,2010,17.7
Denmark,DNK,2010,18.3
Slovenia,SVN,2010,18.3
Austria,AUT,2010,18.9
France,FRA,2010,19.2
Germany,DEU,2010,19.7
Slovak Republic,SVK,2010,20.6
Belgium,BEL,2010,20.8
Malta,MLT,2010,21.2
Estonia,EST,2010,21.7
Cyprus,CYP,2010,24.6
Italy,ITA,2010,25.0
Spain,ESP,2010,26.1
Ireland,IRL,2010,27.3
Greece,GRC,2010,27.7
Poland,POL,2010,27.8
Hungary,HUN,2010,29.9
Colombia,COL,2010,30.4
Costa Rica,CRI,2010,30.9422032877302
Croatia,HRV,2010,31.1
Lithuania,LTU,2010,34.0
Dominican Republic,DOM,2010,35.4
Latvia,LVA,2010,38.2
Armenia,ARM,2010,41.2
Romania,ROU,2010,41.5
Ghana,GHA,2010,42.7
Rwanda,RWA,2010,44.4
Pakistan,PAK,2010,44.7
Ecuador,ECU,2010,46.08
Mexico,MEX,2010,46.1
North Macedonia,MKD,2010,47.2
Bulgaria,BGR,2010,49.2
Guinea-Bissau,GNB,2010,65.1
Turkey,TUR,2010,65.7
South Africa,ZAF,2011,8.0
Morocco,MAR,2011,9.8
Iceland,ISL,2011,13.7
Norway,NOR,2011,14.5
Czech Republic,CZE,2011,15.3
Netherlands,NLD,2011,15.7
Luxembourg,LUX,2011,16.8
Denmark,DNK,2011,17.6
Finland,FIN,2011,17.9
Sweden,SWE,2011,18.5
Austria,AUT,2011,19.2
France,FRA,2011,19.3
Slovenia,SVN,2011,19.3
Germany,DEU,2011,19.9
Slovak Republic,SVK,2011,20.6
Belgium,BEL,2011,21.0
Malta,MLT,2011,22.1
Estonia,EST,2011,23.1
Chile,CHL,2011,24.3
Cyprus,CYP,2011,24.6
Spain,ESP,2011,26.7
Poland,POL,2011,27.2
Italy,ITA,2011,28.1
Costa Rica,CRI,2011,28.79957923639
Colombia,COL,2011,29.4
Ireland,IRL,2011,29.4
Greece,GRC,2011,31.0
Hungary,HUN,2011,31.5
Croatia,HRV,2011,32.6
Lithuania,LTU,2011,33.1
Armenia,ARM,2011,33.9
Dominican Republic,DOM,2011,34.3
Nepal,NPL,2011,39.1
Latvia,LVA,2011,40.1
Ecuador,ECU,2011,40.71
Romania,ROU,2011,40.9
Bulgaria,BGR,2011,49.1
North Macedonia,MKD,2011,50.4
Ghana,GHA,2011,55.0
Turkey,TUR,2011,63.8
Bhutan,BTN,2012,12.4
Iceland,ISL,2012,12.7
Norway,NOR,2012,13.7
Netherlands,NLD,2012,15.0
Czech Republic,CZE,2012,15.4
Finland,FIN,2012,17.2
Denmark,DNK,2012,17.5
Sweden,SWE,2012,17.7
Luxembourg,LUX,2012,18.4
Austria,AUT,2012,18.5
France,FRA,2012,19.1
Germany,DEU,2012,19.6
Slovenia,SVN,2012,19.6
Slovak Republic,SVK,2012,20.5
Belgium,BEL,2012,21.6
Malta,MLT,2012,23.1
Estonia,EST,2012,23.4
Costa Rica,CRI,2012,26.2
Poland,POL,2012,26.7
Colombia,COL,2012,27.0
Cyprus,CYP,2012,27.1
Spain,ESP,2012,27.2
Italy,ITA,2012,29.9
Ireland,IRL,2012,30.1
Armenia,ARM,2012,31.3
Lithuania,LTU,2012,32.5
Croatia,HRV,2012,32.6
Hungary,HUN,2012,33.5
Greece,GRC,2012,34.6
Dominican Republic,DOM,2012,34.9
Latvia,LVA,2012,36.2
Ecuador,ECU,2012,37.83
Pakistan,PAK,2012,40.8
Romania,ROU,2012,43.2
Mexico,MEX,2012,45.5
Bulgaria,BGR,2012,49.3
North Macedonia,MKD,2012,50.3
Turkey,TUR,2012,61.3
Iceland,ISL,2013,13.0
Norway,NOR,2013,14.1
Czech Republic,CZE,2013,14.6
Netherlands,NLD,2013,15.9
